AreaTypeIdentifier,AreaTypeUri,AreaTypeLabel,AreaTypeDescription,AreaIdentifier,AreaUri,AreaLabel,AreaAltLabels,AreaDescription,AreaColour
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-34,http://id.esd.org.uk/neighbourhood/STP-34,Frimley Health,,,5EAAF4
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-44,http://id.esd.org.uk/neighbourhood/STP-44,"Buckinghamshire, Oxfordshire and Berkshire West",,Buckinghamshire county council,E5BAA5
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-1,http://id.esd.org.uk/neighbourhood/STP-1,"Northumberland, Tyne and Wear and North Durham",,"Northumberland, Tyne and Wear STP footprint",c7f16c
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-2,http://id.esd.org.uk/neighbourhood/STP-2,"West, North and East Cumbria",,"West, North and East Cumbria STP footprint",82d5fc
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-3,http://id.esd.org.uk/neighbourhood/STP-3,"Durham, Darlington, Teesside, Hambleton, Richmondshire and Whitby",,"Durham, Darlington, Tees, Hambleton, Richmondshire and Whitby STP footprint",79ba4e
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-4,http://id.esd.org.uk/neighbourhood/STP-4,Lancashire and South Cumbria,,Lancashire and South Cumbria STP footprint,1b8d29
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-5,http://id.esd.org.uk/neighbourhood/STP-5,West Yorkshire,,West Yorkshire STP footprint,331625
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-6,http://id.esd.org.uk/neighbourhood/STP-6,"Humber, Coast and Vale",,"Coast, Humber and Vale STP footprint",fa84a0
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-7,http://id.esd.org.uk/neighbourhood/STP-7,Greater Manchester,,Greater Manchester STP footprint,88aba1
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-8,http://id.esd.org.uk/neighbourhood/STP-8,Cheshire and Merseyside,,Cheshire and Merseyside STP footprint,f76e6e
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-9,http://id.esd.org.uk/neighbourhood/STP-9,South Yorkshire and Bassetlaw,,South Yorkshire and Bassetlaw STP footprint,98b67c
STP,http://id.esd.org.uk/neighbourhood/STP,STP footprint,Sustainability and Transformation Plan footprint.,STP-10,http://id.esd.org.uk/neighbourhood/STP-10,Staffordshire,,Staffordshire STP footprint,a6ab74
